price,host_response_rate,host_acceptance_rate,host_is_superhost,neighbourhood_cleansed,accommodates,bathrooms,bedrooms,beds,guests_included,review_scores_rating,reviews_per_month
170.00,1.00,1.00,t,The Port,2,1,0,2,2,96,1.04
179.00,N/A,0.00,f,Strawberry Hill,4,1,1,3,2,98,0.69
129.00,1.00,1.00,t,East Cambridge,4,1,1,1,2,96,3.25
150.00,1.00,1.00,t,Wellington-Harrington,5,1,2,5,3,94,6.6
70.00,N/A,N/A,f,West Cambridge,1,1,1,1,1,,
250.00,1.00,1.00,t,Cambridgeport,7,2.5,4,9,5,93,0.78
170.00,N/A,0.00,f,Strawberry Hill,2,1,1,2,2,,
165.00,1.00,0.87,t,North Cambridge,2,1,1,1,2,99,6.34
275.00,1.00,1.00,t,The Port,6,2,2,3,4,97,1.54
145.00,1.00,0.86,t,Agassiz,4,1,2,3,2,99,1.93
179.00,0.75,1.00,f,Neighborhood Nine,2,1,1,1,1,91,0.27
75.00,1.00,0.97,t,The Port,1,1,1,1,1,97,1.04
58.00,0.00,0.25,f,Wellington-Harrington,2,2,1,1,2,100,1
108.00,1.00,0.27,f,Mid-Cambridge,2,1,0,1,2,85,0.18
64.00,N/A,0.83,f,The Port,2,1,1,1,2,94,0.85
237.00,0.75,1.00,f,Mid-Cambridge,4,1,2,2,4,90,0.73
225.00,N/A,N/A,f,Wellington-Harrington,4,1,2,2,2,100,0.05
135.00,1.00,0.99,t,Mid-Cambridge,2,1,1,1,1,99,7.64
299.00,1.00,0.93,f,Mid-Cambridge,4,1,1,2,2,82,2.24
300.00,N/A,N/A,f,Neighborhood Nine,2,1.5,1,1,1,100,0.16
100.00,N/A,0.10,f,Mid-Cambridge,1,1,1,1,1,99,1.14
225.00,1.00,1.00,t,Mid-Cambridge,6,1,1,0,3,96,3.91
410.00,1.00,0.57,f,West Cambridge,5,2.5,3,3,1,99,0.49
200.00,N/A,0.79,t,West Cambridge,5,1.5,3,6,4,100,0.05
287.00,1.00,1.00,t,The Port,5,2,2,3,4,96,0.77
184.00,1.00,1.00,t,West Cambridge,2,1,1,1,2,98,4.48
125.00,1.00,0.78,t,The Port,2,1,1,0,1,88,0.87
195.00,1.00,0.99,t,Neighborhood Nine,4,1,2,3,2,98,2.35
199.00,0.99,0.92,f,East Cambridge,3,1,1,2,1,100,0.02
74.00,1.00,0.74,f,Riverside,2,1,1,1,1,87,0.4
61.00,1.00,0.74,f,Riverside,1,1,1,1,1,85,0.2
